"";"X";"ResultKey";"ProjectKey";"Project";"ContractNumber";"PondKey";"WaterhabitatKey";"CODE";"Gemeente";"SBZ";"meetnet";"Abiotiek_j";"Biotiek_ja";"HabtypeSel";"HabtypeVel";"INSIDE_X";"INSIDE_Y";"AnalysisKey";"AnalysisDateKey";"AnalysisDate";"ComponentKey";"AquaComponentKey";"Component";"ResultNumeric";"ResultFormatted";"ResultFormattedNumeric";"IsBelowLOQ";"IsAboveLOQ";"UnitKey";"Unit";"SampleKey";"LabSampleID";"FieldSampleID";"FieldObserver";"FieldSampleRemark";"FieldSamplingDateKey";"FieldSamplingDate";"IsReportable";"IsInferred";"ChangeReason";"InsertAuditKey";"UpdateAuditKey";"LineageID"
"1";12047;523397;1639;"V-23W090-01";551;-1;793;"TVGR208X";"-";NA;"-";NA;NA;"-";"-";NA;NA;469;20230405;"2023-04-05 15:14:36";4426;237;"pH.25";7,1;"7.10";7,1;FALSE;FALSE;160;"-";298891;"23-003251";"TVGR208X";"Kevin Scheers";"EMPTY";20230404;"2023-04-04";TRUE;FALSE;"Insert";12973;12973;6579061
"2";12048;523400;1639;"V-23W090-01";551;-1;793;"TVGR208X";"-";NA;"-";NA;NA;"-";"-";NA;NA;603;20230405;"2023-04-05 15:14:36";5082;207;"EC.25";313,6;"313.60";313,6;FALSE;FALSE;130;"µS/cm";298891;"23-003251";"TVGR208X";"Kevin Scheers";"EMPTY";20230404;"2023-04-04";TRUE;FALSE;"Insert";12973;12973;6579064
"3";12049;523408;1639;"V-23W090-01";551;-1;793;"TVGR208X";"-";NA;"-";NA;NA;"-";"-";NA;NA;592;20230405;"2023-04-05 15:14:35";5001;246;"HCO3";76,831533331;"76.83";76,83;FALSE;FALSE;118;"mg/L";298891;"23-003251";"TVGR208X";"Kevin Scheers";"EMPTY";20230404;"2023-04-04";TRUE;FALSE;"Insert";12973;12973;6579072
"4";12050;523409;1639;"V-23W090-01";551;-1;793;"TVGR208X";"-";NA;"-";NA;NA;"-";"-";NA;NA;592;20230405;"2023-04-05 15:14:35";5003;247;"CO3";0;"<1.20";1,2;TRUE;FALSE;118;"mg/L";298891;"23-003251";"TVGR208X";"Kevin Scheers";"EMPTY";20230404;"2023-04-04";TRUE;FALSE;"Insert";12973;12973;6579073
"5";12051;523410;1639;"V-23W090-01";551;-1;793;"TVGR208X";"-";NA;"-";NA;NA;"-";"-";NA;NA;592;20230405;"2023-04-05 15:14:35";5004;248;"OH";0;"<0.36";0,36;TRUE;FALSE;118;"mg/L";298891;"23-003251";"TVGR208X";"Kevin Scheers";"EMPTY";20230404;"2023-04-04";TRUE;FALSE;"Insert";12973;12973;6579074
"6";12052;523422;1639;"V-23W090-01";551;-1;793;"TVGR208X";"-";NA;"-";NA;NA;"-";"-";NA;NA;620;20230414;"2023-04-14 11:52:18";5250;260;"Na";15,4903;"15.49";15,49;FALSE;FALSE;118;"mg/L";298891;"23-003251";"TVGR208X";"Kevin Scheers";"EMPTY";20230404;"2023-04-04";TRUE;FALSE;"Insert";12973;12973;6579086
"7";12053;523423;1639;"V-23W090-01";551;-1;793;"TVGR208X";"-";NA;"-";NA;NA;"-";"-";NA;NA;620;20230414;"2023-04-14 11:52:19";5251;261;"NH4";0,1291;"0.13";0,13;FALSE;FALSE;118;"mg/L";298891;"23-003251";"TVGR208X";"Kevin Scheers";"EMPTY";20230404;"2023-04-04";TRUE;FALSE;"Insert";12973;12973;6579087
"8";12054;523424;1639;"V-23W090-01";551;-1;793;"TVGR208X";"-";NA;"-";NA;NA;"-";"-";NA;NA;620;20230414;"2023-04-14 11:52:21";5248;258;"K";13,3887;"13.39";13,39;FALSE;FALSE;118;"mg/L";298891;"23-003251";"TVGR208X";"Kevin Scheers";"EMPTY";20230404;"2023-04-04";TRUE;FALSE;"Insert";12973;12973;6579088
"9";12055;523425;1639;"V-23W090-01";551;-1;793;"TVGR208X";"-";NA;"-";NA;NA;"-";"-";NA;NA;620;20230414;"2023-04-14 11:52:23";5249;259;"Mg";5,8755;"5.88";5,88;FALSE;FALSE;118;"mg/L";298891;"23-003251";"TVGR208X";"Kevin Scheers";"EMPTY";20230404;"2023-04-04";TRUE;FALSE;"Insert";12973;12973;6579089
"10";12056;523426;1639;"V-23W090-01";551;-1;793;"TVGR208X";"-";NA;"-";NA;NA;"-";"-";NA;NA;620;20230414;"2023-04-14 11:52:24";5245;13;"Ca";30,7427;"30.74";30,74;FALSE;FALSE;118;"mg/L";298891;"23-003251";"TVGR208X";"Kevin Scheers";"EMPTY";20230404;"2023-04-04";TRUE;FALSE;"Insert";12973;12973;6579090
