"CODE";"Al";"CO3";"Ca";"Cl";"EC.25";"EC.CALC";"EC.MEAS";"EC25.VELD";"Fe";"HCO3";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"N_org";"Na";"O2.VELD";"OH";"Opmerking";"PO4";"PO4_P";"S";"SAL.VELD";"SAT.VELD";"SD.VELD";"SO4";"Si";"T.ANION";"T.KATION";"T.N";"T.P";"TEMP.VELD";"VERSCHIL.EC.ABS";"VERSCHIL.EC.PROC";"VERSCHIL.IC.ABS";"VERSCHIL.IC.PROC";"WD.VELD";"pH.25";"pH.VELD"
"BOGR001X";0,41;0,6;24,24;31,04;335;318,88;335;344;2,57;29,89;11,11;8,21;0,3;0,48;0,372670807453416;0,18;0,054802861927234;23,91;5,40119273515858;24,85;5,67095216421034;1,74677590141541;17,91;9,5;0,18;-Inf;0,27;0,0880626223091977;21,61;0,1;84,9;-Inf;63,15;3,77;2,8928;3,0295;5,26;0,119;19,8;26,69;9,15;0,137;5,2;0,73;6,64;6,812
"BOGR002X";0,27;0,6;62,37;97,49;734,1;679,23;734,1;749;0,66;144,71;25,9;19,06;1,41;0,38;0,295031055900621;0,45;0,137007154818085;24,19;5,46444384205295;NA;5,8020993461192;NA;41,3;9,27;0,18;-Inf;0,47;0,153294194390085;28,49;0,3;82,3;-Inf;82,52;5,65;6,9166;7,2178;NA;NA;17,8;54,87;7,47;0,301;3,7;2,14;7,23;7,16
"BOGR003X";0,53;0,6;26,54;33,17;366,7;347,6;366,7;378;1,09;24,76;12,03;9,46;0,17;0,22;0,170807453416149;0,06;0,0182676206424113;31,34;7,07960603596277;NA;7,26868111002133;NA;19,41;9,82;0,18;-Inf;0,12;0,0391389432485323;22,75;0,1;88,1;-Inf;65,79;3,65;3,1766;3,3434;NA;NA;10;19,1;5,21;0,167;5,1;0,6;6,49;6,701
"KIJR001X";0,5;0,6;37,01;34,91;413,9;389,58;413,9;426;2,24;47,93;18,75;8,27;0,21;0,24;0,186335403726708;0,11;0,0334906378444208;26,38;5,95915785669106;NA;6,17898389826219;NA;21,03;9,07;0,18;-Inf;0,18;0,0587084148727984;28,94;0,1;81,9;-Inf;88,22;3,49;3,6043;3,8217;NA;NA;20,1;31,41;8,02;0,243;6,4;0,68;6,61;6,6
"LIER030X";0,41;0,6;34,89;38,93;401,7;375,39;401,7;411;0,55;123,08;13,97;6,12;0,05;0,46;0,357142857142857;0,3;0,0913381032120566;13,37;3,0202403542062;NA;3,17186538765429;NA;27,61;10,08;0,18;-Inf;0,6;0,195694716242661;11,11;0,1;87,1;-Inf;33,22;2,53;3,7891;3,8391;NA;NA;21;26,31;6,55;0,215;3,7;0,78;7,41;7,5
"LIER031X";0,19;0,6;17,34;20,69;221,9;228,02;221,9;232;8,65;47,7;10,1;4,36;0,51;1,22;0,947204968944099;0,14;0,0426244481656264;0,49;0,110689437065149;NA;1,10051885417487;NA;10,88;6,38;0,18;-Inf;0,3;0,0978473581213307;10,34;0;54,1;-Inf;27,25;4,8;1,9459;2,3651;NA;NA;9,1;9,32;8,05;0,419;16,9;1,07;6,46;6,411
"LIER032X";0,47;0,6;48,06;39,07;445,4;417,68;445,4;456;1,38;139,83;9,7;6,88;0,18;0,44;0,341614906832298;0,13;0,0395798447252245;6,03;1,36215776633234;NA;1,47998722882746;NA;27,57;9,57;0,18;-Inf;0,12;0,0391389432485323;13,35;0,1;83;-Inf;41,74;3,04;4,3132;4,4212;NA;NA;18,9;27,72;6,22;0,213;5,2;1,3;7,29;7,32
"LIER033X";0,35;0,6;26,61;28,75;334;314,48;334;340;1,19;39,4;14,64;6,75;0,05;0,13;0,100931677018634;0,05;0,0152230172020094;25,04;5,65645613083943;NA;5,76652161817927;NA;16,46;9,66;0,18;-Inf;0,57;0,185909980430528;16,93;0,1;84,1;-Inf;49,05;2,46;2,8454;3,053;NA;NA;9,5;19,52;5,84;0,208;4,7;0,51;6,83;6,586
"LIER034X";0,34;0,6;14,42;18,81;188;184,84;188;190,1;1,51;39,56;10,07;4,2;0,1;0,16;0,124223602484472;0,07;0,0213122240828132;6,74;1,52254450167164;NA;1,56745358432884;NA;10,23;8,78;0,18;-Inf;0,05;0,0163078930202218;7,71;0;74,2;-Inf;21,51;2,31;1,6159;1,8217;NA;NA;7,8;4,68;2,52;0,229;6,8;0,92;6,68;6,469
"LIER035X";0,6;0,6;20,52;26,12;278,8;267,82;278,8;285;1,14;55,83;12,36;6,19;0,05;0,05;0,0388198757763975;0,05;0,0152230172020094;16,73;3,77925363693865;NA;3,83329652991705;NA;16,56;10,54;0,18;-Inf;1,73;0,564253098499674;11,29;0;92,5;-Inf;32,1;1,95;2,3793;2,6539;NA;NA;10;10,98;3,94;0,275;5,5;0,91;6,97;6,741
