"CODE";"Al";"CO3";"Ca";"Cl";"EC.25";"EC.CALC";"EC.MEAS";"EC25.VELD";"Fe";"HCO3";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"N_org";"Na";"O2.VELD";"OH";"Opmerking";"PO4";"PO4_P";"S";"SAL.VELD";"SAT.VELD";"SD.VELD";"SO4";"Si";"T.ANION";"T.KATION";"T.N";"T.P";"TEMP.VELD";"VERSCHIL.EC.ABS";"VERSCHIL.EC.PROC";"VERSCHIL.IC.ABS";"VERSCHIL.IC.PROC";"WD.VELD";"pH.25";"pH.VELD"
"BOGR001X";0,37;0,6;19,86;26,45;291,6;264,91;291,6;273;0,75;22,18;9,6;6,41;0,16;0,32;0,248447204968944;0,07;0,0213122240828132;13,66;3,08575042920394;24,85;3,51322409858459;1,74677590141541;15,03;8,16;0,18;NA;0,05;0,0163078930202218;16,48;0;73;NA;46,8;3,61;2,4383;2,5741;5,26;0,119;9,9;16,12;4,81;0,136;2,7;0,73;6,48;6,42
"BOGR002X";0,23;0,6;36,46;51,54;477,1;445,83;477,1;491;0,52;61,35;19,14;10,79;0,17;0,27;0,209627329192547;0,14;0,0426244481656264;11,61;2,62266196801301;NA;2,86273533160958;NA;25,7;8,82;0,18;NA;0,05;0,0163078930202218;22,48;0,2;69,8;NA;67,79;3,98;4,2629;4,3828;NA;NA;9,6;31,27;6,55;0,124;2,1;1,145;6,9;6,77
"BOGR003X";0,47;0,6;17,595;21,475;243,8;234,305;243,8;250;0,815;23,535;9,355;6,255;0,11;0,135;0,104813664596273;0,045;0,0137007154818085;17,79;4,01870425589591;NA;4,13721863597399;NA;12,465;9,2;0,18;NA;0,085;0,027723418134377;13,88;0,05;77,95;NA;39,845;2,615;2,11;2,2499;NA;NA;7,6;9,605;2,65;0,14;3,85;0,6;6,41;6,4655
"KIJR001X";0,35;0,6;33,05;29,74;391,8;360,39;391,8;402;1,4;36,86;11,91;7,12;0,19;0,17;0,131987577639752;0,11;0,0334906378444208;8,59;1,94045360079516;NA;2,08461959219652;NA;18,93;8,78;0,18;NA;0,05;0,0163078930202218;26,56;0,1;58,1;NA;76,28;2,43;3,4767;3,6062;NA;NA;10,5;24,32;5,88;0,217;2,9;0,665;6,45;6,26
"LIER030X";0,37;0,6;30,02;22,61;304;293,52;304;310;0,54;75,29;12,43;5,37;0,05;0,18;0,139751552795031;0,09;0,027401430963617;10,82;2,44420348784675;NA;2,6113564716054;NA;15,58;9,13;0,18;NA;0,39;0,12720156555773;9,71;0,1;74,1;NA;29,81;2,28;2,7821;2,9975;NA;NA;9,5;10,48;3,45;0,141;3,6;0,7;7,05;6,998
"LIER031X";0,185;0,6;13,115;15,565;168,85;176,57;168,85;175,15;7,99;30,06;6,58;3,205;0,395;0,89;0,690993788819876;0,075;0,0228345258030142;0,385;0,0869702719797597;NA;0,80079858660265;NA;8,78;6,35;0,18;NA;0,175;0,0570776255707763;8,79;0;52,85;NA;23,555;4,75;1,43555;1,83295;NA;NA;7,5;7,72;5,405;0,3975;13,3;0,82;6,15;6,121
"LIER032X";0,33;0,6;20,14;21,56;235;227,78;235;237;1,02;51,47;9,08;4,33;0,05;0,14;0,108695652173913;0,05;0,0152230172020094;4,22;0,9532845396223;NA;1,31012246365661;NA;12,98;9,5;0,18;NA;0,05;0,0163078930202218;10,12;0;80,3;NA;29,03;2,89;2,09;2,239;NA;NA;9,7;7,93;3,51;0,149;3,4;1,06;6,81;6,66
"LIER033X";0,31;0,6;18,44;18,965;232,65;221,56;232,65;236,35;0,865;38,27;11,77;4,945;0,05;0,13;0,100931677018634;0,04;0,0121784137616076;14,53;3,28228065419716;NA;3,3953907449774;NA;10,86;9,61;0,18;NA;0,31;0,101108936725375;10,17;0,05;82,1;NA;28,68;1,82;2,0034;2,1648;NA;NA;7,95;11,09;3,935;0,1615;4,1;0,33;6,705;6,5445
"LIER034X";0,29;0,6;14,205;17,76;186,95;183,03;186,95;189,9;1,145;35,985;9,42;4,2;0,075;0,105;0,0815217391304348;0,045;0,0137007154818085;4,88;1,10237643444475;NA;1,19759888905699;NA;10,125;8,11;0,18;NA;0,05;0,0163078930202218;7,405;0;66,55;NA;19,99;1,72;1,58855;1,8057;NA;NA;6,7;3,92;2,1;0,2175;6,4;0,735;6,625;6,4555
"LIER035X";0,425;0,6;16,14;19,895;223,95;215,94;223,95;227,3;0,785;49,285;12,195;5,21;0,05;0,05;0,0388198757763975;0,045;0,0137007154818085;9,94;2,24541429475016;NA;2,29793488600836;NA;12,33;9,94;0,18;NA;0,925;0,301696020874103;7,195;0;85,05;NA;19,7;1,56;1,96905;2,14815;NA;NA;8,05;8,01;3,46;0,1795;4,05;0,53;6,785;6,645
"LIER036X";0,23;0,6;13,02;17,47;166,3;166,32;166,3;166,1;1,88;38,02;9,49;3,45;0,1;0,24;0,186335403726708;0,03;0,00913381032120566;1,65;0,372729737056113;NA;0,656298707135471;NA;8,78;6,08;0,18;NA;0,05;0,0163078930202218;5,38;0;50,3;NA;13,25;3,17;1,4248;1,66;NA;NA;8,2;0,54;0,19;0,243;8,3;0,93;6,59;6,419
