"CODE";"Al";"CO3";"Ca";"Cl";"EC.25";"EC.CALC";"EC.MEAS";"EC25.VELD";"Fe";"HCO3";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"N_org";"Na";"O2.VELD";"OH";"Opmerking";"PO4";"PO4_P";"S";"SAL.VELD";"SAT.VELD";"SD.VELD";"SO4";"Si";"T.ANION";"T.KATION";"T.N";"T.P";"TEMP.VELD";"VERSCHIL.EC.ABS";"VERSCHIL.EC.PROC";"VERSCHIL.IC.ABS";"VERSCHIL.IC.PROC";"WD.VELD";"pH.25";"pH.VELD"
"BOGR001X";0,36;0,6;9,75;11,6;135,3;134,6;135,3;135,4;0,39;19,3;8,17;3,4;0,05;0,15;0,116459627329193;0,07;0,0213122240828132;5,23;1,18144031806271;24,85;1,31921216947471;1,74677590141541;6,26;6,53;0,18;Inf;0,05;0,0163078930202218;4,66;0;64,7;Inf;12,54;1,58;1,1722;1,2999;5,26;0,119;5,3;0,7;0,52;0,128;2,3;0,73;6,46;6,36
"BOGR002X";0,05;0,6;14,03;14,83;185,4;182,61;185,4;185,5;0,28;42,86;12,77;4,1;0,05;0,27;0,209627329192547;0,1;0,0304460344040189;4,27;0,964579380139152;NA;1,31121386414978;NA;7,86;5,3;0,18;Inf;0,05;0,0163078930202218;5,36;0;55,9;Inf;15,01;2,06;1,6372;1,7614;NA;NA;5,1;2,79;1,5;0,12;1,4;0,15;6,77;6,688
"BOGR003X";0,41;0,6;8,65;9,78;120,9;121,01;120,9;122;0,54;22,31;6,68;3,05;0,05;0,05;0,0388198757763975;0,03;0,00913381032120566;4,24;0,957802475829041;NA;1,00575616192664;NA;5,52;8,58;0,18;Inf;0,05;0,0163078930202218;5,01;0;67,8;Inf;13,9;1,58;1,0434;1,1564;NA;NA;5,2;0,11;0,09;0,113;2,6;0,6;6,33;6,23
"KIJR001X";0,05;0,6;16,48;18,27;209,1;206,12;209,1;213;0,79;32,03;10,22;3,95;0,18;0,16;0,124223602484472;0,04;0,0121784137616076;0,94;0,212343001716816;NA;0,370057242045709;NA;10,96;3,78;0,18;Inf;0,05;0,0163078930202218;10,72;0;41,7;Inf;28,49;2,41;1,7778;2,0205;NA;NA;5,2;2,98;1,43;0,129;1,8;0,65;6,38;6,06
"LIER030X";0,05;0,6;18,38;15,57;211,7;205,57;211,7;211,1;0,16;53,6;11,36;3,98;0,05;0,16;0,124223602484472;0,09;0,027401430963617;1,73;0,390801481883076;NA;0,83928244223799;NA;10,07;6,5;0,18;Inf;0,05;0,0163078930202218;6,93;0;72,9;Inf;18,52;1,87;1,8917;2,0331;NA;NA;5,9;6,13;2,9;0,05;0,7;0,11;6,92;6,638
"LIER031X";0,18;0,6;8,89;10,44;115,8;125,12;115,8;118,3;7,33;12,42;3,06;2,05;0,28;0,56;0,434782608695652;0,01;0,00304460344040189;0,28;0,0632511068943707;NA;0,501078319030425;NA;6,68;6,32;0,18;Inf;0,05;0,0163078930202218;7,24;0;51,6;Inf;19,86;4,7;0,9252;1,3008;NA;NA;5,9;6,12;2,76;0,376;9,7;0,57;5,84;5,831
"LIER032X";0,05;0,6;19,18;21,52;225,9;217,97;225,9;228;0,45;37,96;8;4,11;0,05;0,1;0,077639751552795;0,03;0,00913381032120566;2,98;0,673172494804373;NA;0,790392091082393;NA;12,05;5,48;0,18;Inf;0,05;0,0163078930202218;9,83;0;58,7;Inf;27,17;1,37;1,9337;2,1467;NA;NA;6,3;7,22;3,07;0,108;1,2;0,66;6,62;6,534
"LIER033X";0,27;0,6;10,27;9,18;131,3;128,64;131,3;132,7;0,54;37,14;8,9;3,14;0,05;0,13;0,100931677018634;0,03;0,00913381032120566;4,02;0,908105177554893;NA;1,02425987177554;NA;5,26;9,56;0,18;Inf;0,05;0,0163078930202218;3,41;0;80,1;Inf;8,31;1,18;1,1614;1,2766;NA;NA;6,4;2,66;2,03;0,115;3,5;0,15;6,58;6,503
"LIER034X";0,24;0,6;13,99;16,71;185,9;181,22;185,9;189,7;0,78;32,41;8,77;4,2;0,05;0,05;0,0388198757763975;0,02;0,00608920688080378;3,02;0,682208367217855;NA;0,82774419378514;NA;10,02;7,44;0,18;Inf;0,05;0,0163078930202218;7,1;0;58,9;Inf;18,47;1,13;1,5612;1,7897;NA;NA;5,6;3,16;1,68;0,206;6;0,55;6,57;6,442
"LIER035X";0,25;0,6;11,76;13,67;169,1;164,06;169,1;169,6;0,43;42,74;12,03;4,23;0,05;0,05;0,0388198757763975;0,04;0,0121784137616076;3,15;0,71157495256167;NA;0,762573242099675;NA;8,1;9,34;0,18;Inf;0,12;0,0391389432485323;3,1;0;77,6;Inf;7,3;1,17;1,5588;1,6424;NA;NA;6,1;5,04;2,98;0,084;2,6;0,15;6,6;6,549
